Card Type Full Name,Issuing Bank,Card Number,Card Holder's Name,CVV/CVV2,Issue Date,Expiry Date,Billing Date,Card PIN,Credit Limit,Fraud
Diners Club International,Diners Club,3.09495E+13,Mary Q Mcfadden,708,Nov-08,Nov-25,6,6440,31200,0
American Express,American Express,3.75544E+14,Wilson V Hensel,7931,Sep-17,Sep-25,12,4425,183700,1
Japan Credit Bureau,JCB,3.52975E+15,Marjorie E Ellison,442,Jan-17,Jan-22,12,8029,143900,0
Visa,Chase,4.27186E+15,Stacy F Burkholder,582,Jul-08,Jul-26,2,3918,186100,0
Master Card,Chase,5.28049E+15,Brittany K Burch,132,Nov-08,Nov-10,1,8021,183500,0
Master Card,Citibank,5.1555E+15,Everette Flake,601,Jul-17,Jul-25,19,4772,140200,1
American Express,American Express,3.40904E+14,Clifford Y Crosby,363,Nov-14,Nov-21,17,4217,31300,0
Visa,Chase,4.55555E+15,Daniela P Mclaurin,479,Feb-09,Feb-25,23,6166,160000,1
Discover,Discover,6.01156E+15,Zachary Ford,567,Mar-08,Mar-28,9,1340,71300,0
Discover,Discover,6.01137E+15,Trevor P Kurth,797,Sep-14,Sep-18,22,7133,145900,1
Master Card,Chase,5.35408E+15,Carrie Barnett,633,Oct-13,Oct-32,22,2683,104700,1
American Express,American Express,3.48503E+14,Hortense Gunter,1399,Dec-13,Dec-15,3,6621,96000,0
Discover,Discover,6.01151E+15,Erica O Roth,443,May-16,May-27,2,4920,31800,0
Diners Club International,Diners Club,3.01626E+13,Shae Y Cortese,256,Feb-07,Feb-08,18,4063,55700,0
Japan Credit Bureau,JCB,3.5327E+15,Manuel L Rios,359,Sep-11,Sep-15,27,1388,98100,0
Visa,Citibank,4.1039E+15,Isaias B Ballesteros,876,Dec-08,Dec-20,17,4522,44200,0
Master Card,Citibank,5.41088E+15,Ethel Schmidt,632,May-08,May-18,23,1668,69300,0
Visa,Chase,4.75168E+15,Stephan Schubert,916,Jun-16,Jun-25,24,4961,154200,0
Discover,Discover,6.01153E+15,Michele E Rush,993,Nov-13,Nov-25,6,7757,167900,1
Japan Credit Bureau,JCB,3.58786E+15,Jaqueline Ellinger,808,Jan-17,Jan-37,15,719,117300,0
Japan Credit Bureau,JCB,3.57245E+15,Alan Camacho,613,Apr-08,Apr-11,5,9661,190400,1
American Express,American Express,3.4383E+14,Merry W Pickett,2156,Nov-09,Nov-13,18,3731,148200,0
Japan Credit Bureau,JCB,3.53212E+15,Jonathan Figueroa,455,May-13,May-26,16,5710,112200,1
Japan Credit Bureau,JCB,3.58869E+15,Ira Peer,496,Feb-14,Feb-22,14,6581,172700,0
Master Card,Chase,5.36992E+15,Lee W Tillman,780,Oct-08,Oct-22,19,5419,26800,0
Japan Credit Bureau,JCB,3.57831E+15,Darron S Deckard,429,Oct-07,Oct-18,10,8931,108700,1
American Express,Bank of America,3.70361E+14,Annie D Moody,2166,May-08,May-20,25,5190,157700,0
Master Card,Wells Fargo,5.22863E+15,Raymond E Lockman,608,Nov-09,Nov-14,8,5398,112400,0
Master Card,Bank of America,5.16828E+15,Melissa Q Arnold,502,Nov-11,Nov-22,3,9692,26700,0
Discover,Discover,6.01135E+15,Billie G Metzger,301,Aug-16,Aug-29,26,6436,129200,1
Discover,Discover,6.01133E+15,Dennis G Castillo,279,Dec-11,Dec-25,8,4199,83500,0
Japan Credit Bureau,JCB,3.53429E+15,Kandis Harrell,402,Mar-12,Mar-17,10,6293,40800,0
Diners Club International,Diners Club,3.09162E+13,Wanda R Skinner,175,Oct-08,Oct-14,17,5740,31500,0
Diners Club International,Diners Club,3.09487E+13,Michal Y Brice,581,Sep-07,Sep-08,18,4593,31500,0
Visa,Citibank,4.52806E+15,Harry Vazquez,207,Mar-15,Mar-21,13,3326,103100,1
Visa,Chase,4.03327E+15,Kelly C Baty,206,Jan-09,Jan-21,26,623,89100,0
Discover,Discover,6.01123E+15,Victor Newton,380,Oct-12,Oct-23,18,114,182400,0
Discover,Discover,6.0114E+15,Olga Simard,728,Mar-11,Mar-31,12,1872,69900,0
Japan Credit Bureau,JCB,3.54277E+15,Clarence S Riggs,635,Mar-11,Mar-28,19,2779,83900,0
Japan Credit Bureau,JCB,3.5377E+15,Jan Simmers,505,Dec-16,Dec-32,28,890,97600,0
Diners Club International,Diners Club,3.02509E+13,Tyler R Noble,38,Nov-09,Nov-13,19,5938,162300,0
Japan Credit Bureau,JCB,3.57221E+15,Tamekia T England,907,Jun-08,Jun-10,27,7030,161400,1
Diners Club International,Diners Club,3.03327E+13,Carolyn L Dunn,359,Aug-13,Aug-21,16,1917,143100,1
Master Card,Chase,5.1956E+15,Leida T Sproul,359,Dec-13,Dec-15,3,2142,105900,1
Diners Club International,Diners Club,3.09197E+13,Jesse V Charles,769,Feb-11,Feb-27,8,8688,197200,1
Discover,Discover,6.01169E+15,Carlos Lewin,387,Jun-12,Jun-17,11,1762,115300,1
American Express,U.S. Bancorp,3.7792E+14,Greg G Marshall,5610,Aug-11,Aug-29,15,1279,152900,0
Master Card,Capital One,5.44739E+15,Elissa Lamp,42,Sep-10,Sep-29,18,5884,129700,0
Master Card,Citibank,5.38663E+15,Dolores I Dudley,540,Oct-14,Oct-26,21,4475,13700,0
American Express,American Express,3.70236E+14,Rudolph W Ivy,7819,Aug-08,Aug-24,4,5858,98600,0
Discover,Discover,6.01152E+15,Sherry Rodriquez,955,Jul-08,Jul-18,6,7119,51300,0
Discover,Discover,6.01198E+15,Cleta X Kunz,856,Mar-14,Mar-31,5,6483,176500,0
Visa,Bank of America,4.83105E+15,Yolanda O Mcintyre,335,Mar-13,Mar-16,14,827,124700,1
Diners Club International,Diners Club,3.03492E+13,Mirna R Segura,926,Jan-17,Jan-19,24,4861,200000,0
Discover,Discover,6.01186E+15,Mario Byers,937,May-09,May-13,8,8433,12200,0
Master Card,Capital One,5.13756E+15,Aldo T Dunn,538,Nov-07,Nov-13,10,70,116800,0
Discover,Discover,6.01166E+15,Jean B Gamble,820,Apr-15,Apr-33,3,9969,122000,0
Diners Club International,Diners Club,3.00608E+13,Benton E Gooding,223,Sep-15,Sep-34,28,221,40400,0
Diners Club International,Diners Club,3.02326E+13,Maurice D Blanchard,118,Mar-09,Mar-22,12,6496,91400,0
American Express,American Express,3.7854E+14,Moises T Haun,9808,Apr-13,Apr-20,18,5955,175200,0
Japan Credit Bureau,JCB,3.55198E+15,Debra C Hogan,259,Jan-14,Jan-20,10,4604,57000,0
Visa,Chase,4.23171E+15,Armando W Pope,451,Sep-14,Sep-29,3,1954,142400,1
American Express,American Express,3.77355E+14,Chad Gregory,1596,Sep-17,Sep-22,17,6885,111100,0
Master Card,Capital One,5.36877E+15,Neil U Maurice,655,Jun-14,Jun-28,19,523,136500,1
Visa,GE Capital,4.52758E+15,Veronica P Graham,458,Jul-15,Jul-33,21,6194,159100,0
Discover,Discover,6.01127E+15,Jackie Mikell,442,Aug-14,Aug-22,25,3796,115600,0
Master Card,Citibank,5.10414E+15,Eleanor S Odom,787,Aug-11,Aug-24,18,4017,161700,1
Japan Credit Bureau,JCB,3.54679E+15,Sari E Tudor,1,Jan-09,Jan-29,17,3649,121700,1
Discover,Discover,6.01164E+15,Alex K Poole,121,Oct-17,Oct-18,1,5745,29900,0
Japan Credit Bureau,JCB,3.54375E+15,Hugh Y Liu,364,Feb-15,Feb-17,4,860,120600,0
Master Card,Bank of America,5.39091E+15,Carolyn Boyle,462,Apr-07,Apr-11,26,8180,10800,0
Master Card,USAA,5.24484E+15,Monroe V Scanlan,973,Jun-13,Jun-24,25,7598,79500,0
Japan Credit Bureau,JCB,3.55628E+15,Danny M Head,819,May-08,May-17,3,7082,168100,1
American Express,American Express,3.46605E+14,Dustin G Kaplan,2663,May-13,May-24,5,9791,99800,0
Japan Credit Bureau,JCB,3.55832E+15,Katherine E Kline,639,Dec-11,Dec-28,9,5059,80400,0
Master Card,Citibank,5.28305E+15,Burton Durham,57,Mar-08,Mar-25,8,8437,86400,0
American Express,American Express,3.42313E+14,Lewis I Quinn,3558,Jan-14,Jan-18,6,2634,117800,0
Master Card,Bank of America,5.47096E+15,Melania Ketron,149,Sep-11,Sep-19,9,1427,196500,1
Diners Club International,Diners Club,3.01223E+13,Dustin C Moore,607,Oct-16,Oct-23,21,7774,190500,1
Diners Club International,Diners Club,3.09565E+13,Joaquin A Holden,133,Jul-11,Jul-25,24,9935,124300,1
Japan Credit Bureau,JCB,3.53951E+15,Christopher Z Lyons,206,Apr-10,Apr-29,9,1718,88200,0
Master Card,Wells Fargo,5.47371E+15,Dante Klotz,0,May-16,May-34,21,5946,80300,0
Diners Club International,Diners Club,3.05559E+13,Lisa O Pitts,87,Apr-14,Apr-23,9,1404,60800,0
Diners Club International,Diners Club,3.09001E+13,Sammy J Whitesell,534,Aug-16,Aug-29,17,9973,94900,0
Diners Club International,Diners Club,3.05154E+13,Kathy D Oneal,271,Sep-13,Sep-25,21,1312,148400,1
Visa,Citibank,4.13078E+15,Lyle Z Hargrave,729,Apr-16,Apr-31,19,534,31300,0
Diners Club International,Diners Club,3.00532E+13,Jonathan Cooley,695,May-10,May-22,12,27,50800,0
Japan Credit Bureau,JCB,3.5609E+15,Joey O Rickard,954,Jun-11,Jun-20,5,9451,72500,0
Diners Club International,Diners Club,3.01621E+13,Wendy S Frank,183,Jun-17,Jun-32,27,9346,39900,0
Master Card,Citibank,5.19645E+15,Delinda H Nixon,468,Nov-16,Nov-27,14,9531,171100,0
Visa,Chase,4.58952E+15,Vernon J Mathis,850,Dec-17,Dec-35,13,6241,45700,0
Master Card,Bank of America,5.42098E+15,Robt J Clevenger,595,Mar-13,Mar-28,18,3691,33400,0
Visa,First National,4.79201E+15,Roy D Blankenship,945,May-15,May-35,27,475,178200,1
Japan Credit Bureau,JCB,3.53203E+15,Mei J Tinker,255,Feb-14,Feb-27,16,7093,120800,1
Master Card,Chase,5.25456E+15,Joseph R Swanson,250,May-09,May-10,11,3205,100700,0
Discover,Discover,6.01104E+15,Roosevelt D Winkle,688,May-09,May-18,25,6347,13600,0
Diners Club International,Diners Club,3.0049E+13,Mary E Joyce,577,Jul-14,Jul-29,12,4366,39600,0
Japan Credit Bureau,JCB,3.53198E+15,Eileen Y Trueblood,245,Sep-15,Sep-26,23,2348,37800,0
Visa,GE Capital,4.80952E+15,Louis O Sellers,333,Nov-11,Nov-26,28,9163,183000,1
Japan Credit Bureau,JCB,3.54072E+15,Dwayne Greenhaw,430,Feb-09,Feb-19,28,5808,123600,0
Master Card,Bank of America,5.10842E+15,Bernice D Mitchell,479,Oct-13,Oct-20,12,6475,17400,0
Discover,Discover,6.01162E+15,Toney V Barrow,869,Nov-13,Nov-18,2,7047,179500,1
Discover,Discover,6.01162E+15,Mario H Dennis,808,Jun-15,Jun-22,24,4481,150800,0
Diners Club International,Diners Club,3.09154E+13,Eilene N Caswell,317,Oct-09,Oct-29,27,4105,40200,0
Japan Credit Bureau,JCB,3.56124E+15,Judith Allen,550,Mar-10,Mar-29,10,1333,94700,0
Visa,Chase,4.97586E+15,Rufus T Maxey,810,Sep-16,Sep-31,5,5729,133200,0
Master Card,Bank of America,5.37612E+15,Bernice J Jordan,944,Jun-15,Jun-31,5,1173,160200,0
Diners Club International,Diners Club,3.01452E+13,Laurie Staggs,245,Apr-11,Apr-23,16,8319,67400,0
American Express,American Express,3.42815E+14,Sherry R Livingston,6704,Jan-15,Jan-23,2,8322,84700,0
Japan Credit Bureau,JCB,3.55741E+15,Hugh W Dehaven,958,Oct-08,Oct-11,17,8369,186400,0
American Express,Bank of America,3.76579E+14,Derrick T Solomon,8972,May-09,May-18,6,4935,169200,0
Visa,Chase,4.87977E+15,Ione F Cleaver,112,Aug-09,Aug-22,19,4486,152700,0
Master Card,Citibank,5.20107E+15,Jeanette Hobbs,390,Apr-12,Apr-26,8,9959,108800,0
American Express,USAA,3.42479E+14,Lanita O Mcmasters,8567,Dec-07,Dec-24,12,5539,81200,0
Visa,Bank of America,4.72522E+15,Justin P Dotson,451,Oct-09,Oct-25,18,9677,59700,0
Visa,GE Capital,4.79153E+15,Aaron G Aviles,541,Dec-15,Dec-28,21,4003,92500,0
Visa,Chase,4.00039E+15,Troy T Burch,479,Sep-10,Sep-13,3,2679,172300,1
Visa,U.S. Bancorp,4.27857E+15,Florene M Baillargeon,917,May-11,May-27,7,6063,99500,0
Visa,Chase,4.10855E+15,Bobby T Burke,129,Jul-10,Jul-26,15,4552,186600,1
Master Card,Bank of America,5.49496E+15,Adan K Burch,674,Oct-11,Oct-23,9,2535,164500,0
Discover,Discover,6.01138E+15,Ramon H Russell,733,Aug-10,Aug-19,2,112,166800,1
Master Card,Capital One,5.50033E+15,Waldo G Borders,965,Sep-10,Sep-16,17,7174,102800,1
Visa,Barclays,4.72031E+15,Sue K Barrett,87,Mar-08,Mar-25,2,3489,74100,0
Visa,Chase,4.37603E+15,Tatum J Lerma,755,Apr-11,Apr-29,5,1421,97000,0
Japan Credit Bureau,JCB,3.56995E+15,Kathryn Mcneil,146,Nov-13,Nov-20,6,8869,111100,0
Diners Club International,Diners Club,3.09809E+13,Jesus N Troy,650,Oct-10,Oct-28,13,7167,141500,0
Discover,Discover,6.01164E+15,Earl F Grimes,89,Jan-12,Jan-32,4,7223,10700,0
Japan Credit Bureau,JCB,3.56025E+15,Libby Y Suter,204,Jan-14,Jan-21,12,1578,177000,0
Master Card,Citibank,5.42462E+15,Anita Z Moore,31,May-12,May-16,11,6817,59200,0
Visa,GE Capital,4.43991E+15,Gianna X Piper,859,Jun-10,Jun-21,4,560,160600,1
American Express,American Express,3.44788E+14,Theresa W Riggs,2768,Oct-16,Oct-36,15,7828,30400,0
American Express,USAA,3.70484E+14,Margarito F Easterling,1555,Oct-12,Oct-20,2,9912,124300,1
Japan Credit Bureau,JCB,3.56456E+15,Alfred L Clay,360,Oct-12,Oct-14,3,3868,55500,0
American Express,American Express,3.40688E+14,Nichol W Budd,8575,Jun-09,Jun-10,10,5747,133700,1
Diners Club International,Diners Club,3.01184E+13,Glenn V Garza,382,Nov-07,Nov-14,1,5746,81900,0
Discover,Discover,6.54107E+15,Clorinda Montes,907,Dec-12,Dec-30,15,8220,104600,1
American Express,American Express,3.75113E+14,Nicole D Reed,321,Oct-11,Oct-30,7,5255,138100,1
Diners Club International,Diners Club,3.00829E+13,Renetta B Fetter,11,Nov-17,Nov-30,15,5155,53900,0
Visa,Wells Fargo,4.10614E+15,Calvin J Jacobs,530,Dec-13,Dec-26,2,9320,55600,0
Japan Credit Bureau,JCB,3.55499E+15,Joesph E Chamberlain,565,Oct-14,Oct-28,23,4599,78500,0
Discover,Discover,6.01189E+15,Albert Blanchard,49,Mar-14,Mar-17,6,7312,198800,1
Visa,Wells Fargo,4.97154E+15,Floyd A Harvin,118,Jul-09,Jul-11,11,7901,162200,0
Diners Club International,Diners Club,3.03905E+13,Lorraine G Lowery,59,Sep-15,Sep-20,11,6826,47600,0
Master Card,Bank of America,5.33347E+15,Jay N Clift,324,Nov-11,Nov-25,15,7350,149600,0
American Express,American Express,3.71251E+14,Antonio Christian,9797,Apr-16,Apr-19,13,5761,81400,0
Diners Club International,Diners Club,3.05744E+13,Lincoln K Grosso,481,Nov-14,Nov-28,22,4949,83700,0
American Express,American Express,3.46702E+14,Curtis N Harrison,1725,Oct-11,Oct-13,5,999,101600,1
Master Card,Citibank,5.28699E+15,Angla S Jeffcoat,610,Sep-12,Sep-18,13,1386,199000,0
Master Card,Capital One,5.36301E+15,Ellen H Stout,158,Mar-16,Mar-27,26,6489,107300,0
Master Card,Barclays,5.33169E+15,Stacee G Fairfield,721,Mar-07,Mar-23,21,6761,101700,1
Discover,Discover,6.01176E+15,Lorraine X Farley,391,Dec-11,Dec-26,4,6072,187900,1
Discover,Discover,6.22798E+15,Jamie Butterfield,287,Feb-17,Feb-32,6,7136,137400,1
Master Card,Chase,5.2098E+15,Jeremy Chandler,501,Apr-10,Apr-16,5,8830,128200,1
Japan Credit Bureau,JCB,3.56394E+15,Chasidy P Gregor,818,Jul-07,Jul-15,25,3461,198000,0
Master Card,Citibank,5.4191E+15,Beatrice B Norman,75,Oct-15,Oct-35,8,7301,40000,0
Visa,Citibank,4.51042E+15,Seth Futch,766,Feb-10,Feb-12,4,1956,15500,0
Discover,Discover,6.22767E+15,Renee L Beasley,977,Jun-12,Jun-15,8,1347,146600,1
American Express,Bank of America,3.73263E+14,Lindsey Q Sauter,6771,Jul-07,Jul-11,26,7487,91700,0
Master Card,Citibank,5.42375E+15,Steven Miranda,844,Jan-09,Jan-10,11,3001,179700,0
American Express,American Express,3.45371E+14,Dylan Z Spitz,2775,Jul-17,Jul-22,20,4028,181200,1
Japan Credit Bureau,JCB,3.55748E+15,Rebecca O Todd,444,Jun-16,Jun-25,12,111,33700,0
Japan Credit Bureau,JCB,3.528E+15,Brice Y Merritt,964,Feb-10,Feb-21,12,8745,85900,0
Japan Credit Bureau,JCB,3.56144E+15,Andrew Rodriguez,463,Feb-11,Feb-30,9,9073,137500,1
Discover,Discover,6.45244E+15,Kevin Z Ribeiro,174,Oct-10,Oct-11,19,8775,153800,0
Visa,PNC,4.07736E+15,Phillip I Richardson,259,Sep-14,Sep-15,11,9487,55300,0
Diners Club International,Diners Club,3.02125E+13,Jonah U Paynter,44,Sep-08,Sep-10,3,2271,60600,0
Visa,Citibank,4.68358E+15,Alfred C Gilliam,494,Sep-07,Sep-08,27,6037,142900,0
Discover,Discover,6.01179E+15,Diego Belknap,884,Mar-17,Mar-20,3,7759,17100,0
Master Card,Wells Fargo,5.3786E+15,Greg P Craig,570,Aug-17,Aug-30,15,5409,114200,0
Discover,Discover,6.4684E+15,Estella J Tobin,158,Mar-16,Mar-25,26,8382,33900,0
Discover,Discover,6.01124E+15,Cynthia O Bolton,820,Feb-14,Feb-33,3,8564,10300,0
Japan Credit Bureau,JCB,3.5425E+15,Providencia Spinner,520,Apr-07,Apr-18,28,91,149400,0
Discover,Discover,6.22219E+15,Benjamin M Britt,875,Jun-14,Jun-16,24,1168,181000,1
Japan Credit Bureau,JCB,3.5832E+15,Hong Ragan,781,Sep-08,Sep-25,23,5337,11000,0
Discover,Discover,6.01176E+15,Howard T Hudson,882,Dec-17,Dec-29,24,7507,164200,0
American Express,USAA,3.44056E+14,Johnnie Alexander,9971,Aug-14,Aug-28,23,6340,49700,0
Visa,Barclays,4.1795E+15,Travis Brewer,100,Oct-07,Oct-16,16,5687,11800,0
Visa,Cabelas WFB,4.49657E+15,Kortney I Lyle,517,Jun-15,Jun-26,12,4488,69900,0
Diners Club International,Diners Club,3.03417E+13,Audrey Brady,604,Jan-10,Jan-26,27,4432,49800,0
Master Card,Capital One,5.40156E+15,Lon V Boone,304,Jul-11,Jul-28,20,4932,63700,0
American Express,American Express,3.77627E+14,Janet P Suarez,2907,Feb-10,Feb-20,14,4306,54500,0
American Express,USAA,3.73334E+14,Wendell P Tse,1055,Jul-09,Jul-16,9,7940,115100,1
Master Card,Citibank,5.18729E+15,Ana K Albert,184,Jan-17,Jan-26,22,8649,13000,0
Visa,Chase,4.98471E+15,Chloe L Holloway,458,Jun-14,Jun-26,7,1065,115900,0
American Express,Bank of America,3.40957E+14,Rodney N Noel,380,Nov-14,Nov-22,2,2062,120400,0
Japan Credit Bureau,JCB,3.58695E+15,Valentin C Tait,184,Aug-08,Aug-26,2,8707,58500,0
Visa,Citibank,4.75737E+15,Kelly Banks,52,May-13,May-29,4,6741,187000,0
Master Card,Capital One,5.2694E+15,Waneta Q Goodnight,594,Apr-13,Apr-27,14,8108,198700,0
Master Card,Barclays,5.29119E+15,Amy Kim,957,Feb-11,Feb-12,16,9472,195700,1
Master Card,Capital One,5.18455E+15,Ernest G Saldana,188,Feb-10,Feb-30,3,3366,48600,0
American Express,U.S. Bancorp,3.78156E+14,Dan Mills,4593,Jul-13,Jul-18,19,4602,186000,1
Master Card,USAA,5.11236E+15,Mason S Nathan,252,Dec-15,Dec-35,3,1510,150800,0
Master Card,Chase,5.43287E+15,Jerry Q Hyde,891,Apr-10,Apr-23,10,809,159200,1
Discover,Discover,6.01146E+15,Larry Reyna,327,Feb-14,Feb-25,11,7216,176100,1
Japan Credit Bureau,JCB,3.53168E+15,Gloria B Alvarado,10,Jun-07,Jun-08,10,1961,177700,0
Master Card,Capital One,5.37237E+15,Preston E Pendergrass,631,Aug-15,Aug-32,22,5209,51400,0
Discover,Discover,6.01143E+15,Esther Dixon,946,Aug-10,Aug-29,15,4892,117600,0
Japan Credit Bureau,JCB,3.5802E+15,Rod Falls,469,Jun-17,Jun-18,14,1932,37200,0
Discover,Discover,6.22146E+15,Lois G Stanley,829,Apr-10,Apr-19,5,9416,102000,1
Master Card,Bank of America,5.39355E+15,Jenna U Conyers,762,Jun-12,Jun-24,28,532,92700,0
Discover,Discover,6.01126E+15,Jacqueline M Erickson,917,Mar-14,Mar-19,28,8359,28800,0
Visa,Chase,4.09548E+15,Loretta D Mazur,505,Dec-13,Dec-17,1,5724,55600,0
American Express,U.S. Bancorp,3.74391E+14,Leonard Larsen,2982,Aug-16,Aug-18,8,7966,77700,0
Discover,Discover,6.01155E+15,Columbus Wille,224,Jun-16,Jun-25,28,7607,119700,0
Japan Credit Bureau,JCB,3.53678E+15,Diana I Richmond,320,Sep-15,Sep-17,10,1452,132200,0
Japan Credit Bureau,JCB,3.5354E+15,Shaunte Fullmer,960,Mar-11,Mar-30,2,5988,190400,0
Discover,Discover,6.57637E+15,Shawn Estes,84,Apr-17,Apr-29,3,1043,97300,0
Master Card,Capital One,5.2188E+15,Tiffany Sevigny,217,Oct-15,Oct-23,27,9267,167700,1
Diners Club International,Diners Club,3.04835E+13,Emily Serrano,835,Apr-13,Apr-30,13,6299,96300,0
American Express,USAA,3.44494E+14,Leila N Loesch,2888,Nov-09,Nov-20,3,4469,22000,0
American Express,USAA,3.48907E+14,Gloria F Wood,3568,Mar-14,Mar-21,1,9040,147800,0
Japan Credit Bureau,JCB,3.54416E+15,Ira J Beeman,634,Dec-13,Dec-26,10,7456,96700,0
Discover,Discover,6.01104E+15,Dan J Mercer,792,Jul-15,Jul-29,1,7692,114700,0
Discover,Discover,6.01116E+15,Marge S Burchette,528,May-11,May-12,3,4912,26800,0
Master Card,Citibank,5.37969E+15,Jean P Wade,308,Dec-11,Dec-28,28,6345,190700,0
Diners Club International,Diners Club,3.60595E+13,Melvin A Lira,139,Nov-09,Nov-10,24,2135,34600,0
Master Card,Capital One,5.34159E+15,Derrick E Mccullough,819,Dec-16,Dec-17,16,6371,149200,1
Diners Club International,Diners Club,3.00356E+13,Tran H Yon,434,Jun-11,Jun-30,22,3222,46800,0
Discover,Discover,6.01177E+15,Joan T Marks,221,Oct-11,Oct-24,18,871,188300,1
American Express,American Express,3.77613E+14,Babette T Bova,2239,Apr-09,Apr-29,3,2690,106200,1
Discover,Discover,6.01194E+15,Megan Conway,108,Oct-11,Oct-26,9,4806,169300,0
Diners Club International,Diners Club,3.01064E+13,Hector C Mauricio,679,Jul-13,Jul-14,6,117,89500,0
American Express,American Express,3.48815E+14,Alvin J Rowland,9711,Oct-07,Oct-18,16,6088,178000,1
American Express,USAA,3.7544E+14,Flo Adamski,4217,May-14,May-23,1,1837,20700,0
Discover,Discover,6.47137E+15,Virginia L Fulton,255,Apr-11,Apr-12,25,5475,61400,0
Master Card,Capital One,5.43998E+15,Broderick Y Garland,324,Sep-12,Sep-27,19,6285,33200,0
Visa,Chase,4.35471E+15,Eric Atkins,4,Jul-13,Jul-27,20,5554,14300,0
American Express,American Express,3.42884E+14,Becky C Janson,8171,Nov-09,Nov-10,6,2026,37100,0
Japan Credit Bureau,JCB,3.53922E+15,Jonathan F Whitfield,82,Jun-13,Jun-22,23,1648,153500,0
American Express,American Express,3.4603E+14,Jerrold Hutcherson,7925,Jun-17,Jun-25,20,43,140900,1
Diners Club International,Diners Club,3.03455E+13,Regina H Mcintosh,803,Oct-07,Oct-19,7,9946,107700,1
Discover,Discover,6.01147E+15,Rufus L Legrand,306,Nov-15,Nov-16,18,4352,75900,0
Diners Club International,Diners Club,3.00233E+13,Katherine A Ortega,476,Dec-08,Dec-28,12,667,78100,0
Diners Club International,Diners Club,3.02644E+13,Sona U Garvey,991,Aug-17,Aug-37,14,7491,101100,1
Discover,Discover,6.01155E+15,Louis X Ward,539,Mar-07,Mar-19,18,6590,121300,1
Diners Club International,Diners Club,3.02517E+13,Shantell I Annis,419,Oct-10,Oct-26,20,9959,19200,0
Visa,Bank of America,4.58771E+15,Jose T Little,522,Jan-07,Jan-22,25,9728,153500,0
Japan Credit Bureau,JCB,3.54243E+15,Trent J Fenton,698,Nov-11,Nov-31,8,5166,17100,0
Japan Credit Bureau,JCB,3.5809E+15,Shawn E Bowers,295,Dec-08,Dec-11,20,1496,185400,1
American Express,American Express,3.48474E+14,Willodean W Garcia,4980,Jul-12,Jul-27,8,3945,58200,0
Japan Credit Bureau,JCB,3.57292E+15,Kimberly D Gay,831,Feb-08,Feb-19,25,4159,150400,1
Japan Credit Bureau,JCB,3.57724E+15,Melda L Ambrose,896,Sep-17,Sep-31,12,5204,112300,0
Diners Club International,Diners Club,3.69346E+13,Michele O Guthrie,926,Dec-10,Dec-15,11,3885,69000,0
Japan Credit Bureau,JCB,3.55416E+15,Abraham Bee,260,Aug-10,Aug-12,9,1770,137600,0
American Express,USAA,3.78408E+14,Marjorie Z Pitts,3277,Apr-09,Apr-28,25,8208,199000,1
American Express,American Express,3.4362E+14,Davis Ramsey,1132,May-08,May-18,8,2990,104100,0
Japan Credit Bureau,JCB,3.56738E+15,Stacy I Serrano,749,Nov-08,Nov-27,8,3224,109100,1
American Express,American Express,3.45217E+14,Kris O Jefferies,9495,Jul-11,Jul-30,12,8159,18400,0
American Express,Bank of America,3.7694E+14,Betty X Burns,6066,Dec-14,Dec-23,11,8319,30400,0
Diners Club International,Diners Club,3.02864E+13,Latashia K Yarbrough,73,Apr-16,Apr-27,19,7320,145100,1
Visa,Chase,4.31838E+15,Anne A Perez,647,Jul-08,Jul-11,24,8754,97300,0
American Express,American Express,3.72063E+14,Jonna Curcio,3468,Nov-14,Nov-22,25,8516,147700,0
Japan Credit Bureau,JCB,3.54714E+15,Bonnie I Mckinney,58,Jun-14,Jun-15,22,8912,168400,0
Diners Club International,Diners Club,3.03891E+13,Ardelle V Lerner,349,Jun-11,Jun-28,10,3051,101500,1
Discover,Discover,6.01125E+15,Sherry Hester,856,Dec-16,Dec-33,15,1523,114200,0
Japan Credit Bureau,JCB,3.56404E+15,Victor E Quintanilla,61,Dec-12,Dec-20,26,2820,105600,1
Master Card,Bank of America,5.17868E+15,Bill C Blanchard,98,Dec-15,Dec-33,25,671,126500,0
Visa,Citibank,4.2496E+15,Merlin L Conners,673,Apr-13,Apr-17,26,6265,19500,0
Visa,Chase,4.89911E+15,Gregory Y Bernard,328,Mar-16,Mar-25,10,8916,80900,0
Diners Club International,Diners Club,3.05208E+13,Grady G Bascom,638,Feb-15,Feb-16,26,2039,140500,0
Japan Credit Bureau,JCB,3.54844E+15,Anthony Douglas,190,Feb-11,Feb-18,15,1317,73800,0
Master Card,Bank of America,5.44306E+15,Lydia Tomblin,688,Sep-15,Sep-32,25,1917,68600,0
Visa,Wells Fargo,4.87866E+15,Leonard V Salas,355,May-14,May-22,19,1689,118500,1
American Express,USAA,3.73336E+14,Emerson Carothers,5778,Jul-12,Jul-20,14,7033,91500,0
American Express,American Express,3.49193E+14,Linda N Hutchinson,1925,May-16,May-18,16,8896,77900,0
Discover,Discover,6.01137E+15,Karl B Mosier,481,Jun-07,Jun-26,27,3997,152600,1
Visa,Chase,4.15687E+15,Sharon Q Pope,394,Aug-07,Aug-25,6,3497,194400,0
